evaluation_sample,comparison_id,candidate_id,reference_id,block_id,experiment_arm,primary_atomic,evaluation_checkpoint,metric,better_direction,paired_months,mean_candidate_minus_reference,median_candidate_minus_reference,bootstrap_lower,bootstrap_upper,bootstrap_probability_candidate_better,mean_block_benefit,block_benefit_lower,block_benefit_upper,bootstrap_probability_block_beneficial,centered_two_sided_p_value,block_length_months,calendar_segments,replications,random_seed,candidate_publication_role,reference_publication_role
excluding_2020_03_through_2020_05,student_t_7_reduced_core__vs__partial_only,student_t_7_reduced_core,partial_only,non_defining_reduced_core,current_baseline_vs_partial_only,False,after_employment_situation,hard_quadrant_correct,higher,180,0.011111111111111112,0.0,-0.011111111111111112,0.03888888888888889,0.7248,0.011111111111111112,-0.011111111111111112,0.03888888888888889,0.7248,0.40171965606878624,12,2,5000,20260722,baseline,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core__vs__student_t_7_combined,student_t_7_reduced_core,student_t_7_combined,evidence_graph_revision,current_baseline_vs_frozen_predecessor,False,after_employment_situation,hard_quadrant_correct,higher,180,0.005555555555555556,0.0,0.0,0.016666666666666666,0.6602,0.005555555555555556,0.0,0.016666666666666666,0.6602,0.2561487702459508,12,2,5000,20260722,baseline,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core__vs__transition_only,student_t_7_reduced_core,transition_only,complete_reduced_core,current_baseline_vs_transition_only,False,after_employment_situation,hard_quadrant_correct,higher,180,0.17222222222222222,0.0,0.07222222222222222,0.26666666666666666,0.9998,0.17222222222222222,0.07222222222222222,0.26666666666666666,0.9998,0.0005998800239952009,12,2,5000,20260722,baseline,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core_with_expectations__vs__student_t_7_reduced_core,student_t_7_reduced_core_with_expectations,student_t_7_reduced_core,inflation_expectations,add_one,True,after_employment_situation,hard_quadrant_correct,higher,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,2,5000,20260722,sensitivity,baseline
excluding_2020_03_through_2020_05,student_t_7_reduced_core__vs__partial_only,student_t_7_reduced_core,partial_only,non_defining_reduced_core,current_baseline_vs_partial_only,False,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,-8.472402366511309e-05,0.0,-0.000290501944119421,0.00010686804229204162,0.7884,8.472402366511309e-05,-0.00010686804229204165,0.00029050194411942096,0.7884,0.41871625674865026,12,2,5000,20260722,baseline,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core__vs__student_t_7_combined,student_t_7_reduced_core,student_t_7_combined,evidence_graph_revision,current_baseline_vs_frozen_predecessor,False,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,-7.881356516209574e-05,0.0,-0.00026112741172015986,2.5728675371081876e-05,0.74,7.881356516209574e-05,-2.5728675371081886e-05,0.0002611274117201598,0.74,0.46770645870825833,12,2,5000,20260722,baseline,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core__vs__transition_only,student_t_7_reduced_core,transition_only,complete_reduced_core,current_baseline_vs_transition_only,False,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,-0.04688768859618765,-0.015643517847759435,-0.06608502455002624,-0.030261953290599667,1.0,0.04688768859618765,0.030261953290599657,0.06608502455002624,1.0,0.0001999600079984003,12,2,5000,20260722,baseline,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core_with_expectations__vs__student_t_7_reduced_core,student_t_7_reduced_core_with_expectations,student_t_7_reduced_core,inflation_expectations,add_one,True,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,-1.8802953819693565e-07,0.0,-5.64088614590807e-07,0.0,0.6544,1.8802953819693565e-07,-0.0,5.64088614590807e-07,0.6544,0.6116776644671066,12,2,5000,20260722,sensitivity,baseline
excluding_2020_03_through_2020_05,student_t_7_reduced_core__vs__partial_only,student_t_7_reduced_core,partial_only,non_defining_reduced_core,current_baseline_vs_partial_only,False,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,-0.000289848331959401,0.0,-0.00073756347665386,0.000133040870545233,0.905,0.000289848331959401,-0.00013304087054523333,0.00073756347665386,0.905,0.19536092781443712,12,2,5000,20260722,baseline,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core__vs__student_t_7_combined,student_t_7_reduced_core,student_t_7_combined,evidence_graph_revision,current_baseline_vs_frozen_predecessor,False,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,-0.00015988067713069615,0.0,-0.0005280037490913229,5.3250065761712136e-05,0.7418,0.00015988067713069615,-5.325006576171214e-05,0.0005280037490913228,0.7418,0.46270745850829836,12,2,5000,20260722,baseline,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core__vs__transition_only,student_t_7_reduced_core,transition_only,complete_reduced_core,current_baseline_vs_transition_only,False,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,-0.0968483615345519,-0.03450855902342964,-0.134235764526762,-0.06428626438796924,1.0,0.0968483615345519,0.06428626438796924,0.134235764526762,1.0,0.0001999600079984003,12,2,5000,20260722,baseline,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core_with_expectations__vs__student_t_7_reduced_core,student_t_7_reduced_core_with_expectations,student_t_7_reduced_core,inflation_expectations,add_one,True,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,-3.4673202377661424e-07,0.0,-1.0401960713298427e-06,0.0,0.6704,3.4673202377661424e-07,-0.0,1.0401960713298427e-06,0.6704,0.5756848630273945,12,2,5000,20260722,sensitivity,baseline
excluding_2020_03_through_2020_05,student_t_7_reduced_core__vs__partial_only,student_t_7_reduced_core,partial_only,non_defining_reduced_core,current_baseline_vs_partial_only,False,after_employment_situation,score_center_negative_log_predictive_density,lower,180,-0.0038777532924447983,-1.942890293094024e-16,-0.0065782184266760715,-0.0017950288480456308,1.0,0.0038777532924447983,0.0017950288480456308,0.0065782184266760715,1.0,0.0023995200959808036,12,2,5000,20260722,baseline,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core__vs__student_t_7_combined,student_t_7_reduced_core,student_t_7_combined,evidence_graph_revision,current_baseline_vs_frozen_predecessor,False,after_employment_situation,score_center_negative_log_predictive_density,lower,180,-0.0008788785009957526,0.0,-0.002683988270712944,0.00011391143474406773,0.841,0.0008788785009957526,-0.00011391143474406787,0.002683988270712944,0.841,0.3235352929414117,12,2,5000,20260722,baseline,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core__vs__transition_only,student_t_7_reduced_core,transition_only,complete_reduced_core,current_baseline_vs_transition_only,False,after_employment_situation,score_center_negative_log_predictive_density,lower,180,-0.7429677383635457,-0.8763911919520133,-0.8412928207223985,-0.6522876506840016,1.0,0.7429677383635457,0.6522876506840016,0.8412928207223985,1.0,0.0001999600079984003,12,2,5000,20260722,baseline,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core_with_expectations__vs__student_t_7_reduced_core,student_t_7_reduced_core_with_expectations,student_t_7_reduced_core,inflation_expectations,add_one,True,after_employment_situation,score_center_negative_log_predictive_density,lower,180,2.4653331607233436e-06,0.0,0.0,7.395999482170031e-06,0.0,-2.4653331607233436e-06,-7.395999482170031e-06,0.0,0.0,0.5926814637072585,12,2,5000,20260722,sensitivity,baseline
excluding_2020_03_through_2020_05,student_t_7_reduced_core__vs__partial_only,student_t_7_reduced_core,partial_only,non_defining_reduced_core,current_baseline_vs_partial_only,False,after_midmonth_defining_releases,hard_quadrant_correct,higher,180,-0.06111111111111111,0.0,-0.1,-0.022222222222222223,0.0002,-0.06111111111111111,-0.1,-0.022222222222222223,0.0002,0.0009998000399920016,12,2,5000,20260722,baseline,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core__vs__student_t_7_combined,student_t_7_reduced_core,student_t_7_combined,evidence_graph_revision,current_baseline_vs_frozen_predecessor,False,after_midmonth_defining_releases,hard_quadrant_correct,higher,180,-0.005555555555555556,0.0,-0.03888888888888889,0.022222222222222223,0.3104,-0.005555555555555556,-0.03888888888888889,0.022222222222222223,0.3104,0.7164567086582684,12,2,5000,20260722,baseline,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core__vs__transition_only,student_t_7_reduced_core,transition_only,complete_reduced_core,current_baseline_vs_transition_only,False,after_midmonth_defining_releases,hard_quadrant_correct,higher,180,0.4166666666666667,0.0,0.34444444444444444,0.4888888888888889,1.0,0.4166666666666667,0.34444444444444444,0.4888888888888889,1.0,0.0001999600079984003,12,2,5000,20260722,baseline,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core_with_expectations__vs__student_t_7_reduced_core,student_t_7_reduced_core_with_expectations,student_t_7_reduced_core,inflation_expectations,add_one,True,after_midmonth_defining_releases,hard_quadrant_correct,higher,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,2,5000,20260722,sensitivity,baseline
excluding_2020_03_through_2020_05,student_t_7_reduced_core__vs__partial_only,student_t_7_reduced_core,partial_only,non_defining_reduced_core,current_baseline_vs_partial_only,False,after_midmonth_defining_releases,quadrant_brier_distance_to_exact_score_map,lower,180,-0.0006002141759843357,-0.00014954621398998076,-0.002862390925973402,0.0016965925088522939,0.6942,0.0006002141759843357,-0.0016965925088522947,0.0028623909259734015,0.6942,0.6082783443311338,12,2,5000,20260722,baseline,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core__vs__student_t_7_combined,student_t_7_reduced_core,student_t_7_combined,evidence_graph_revision,current_baseline_vs_frozen_predecessor,False,after_midmonth_defining_releases,quadrant_brier_distance_to_exact_score_map,lower,180,-0.0007704416634243582,-2.3724931366405472e-05,-0.0026314151226703433,0.0011174090832487234,0.7776,0.0007704416634243582,-0.0011174090832487243,0.002631415122670343,0.7776,0.4277144571085783,12,2,5000,20260722,baseline,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core__vs__transition_only,student_t_7_reduced_core,transition_only,complete_reduced_core,current_baseline_vs_transition_only,False,after_midmonth_defining_releases,quadrant_brier_distance_to_exact_score_map,lower,180,-0.11256743658824003,-0.06202278324568504,-0.13349648798928473,-0.09288309802216005,1.0,0.11256743658824003,0.09288309802216005,0.13349648798928473,1.0,0.0001999600079984003,12,2,5000,20260722,baseline,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core_with_expectations__vs__student_t_7_reduced_core,student_t_7_reduced_core_with_expectations,student_t_7_reduced_core,inflation_expectations,add_one,True,after_midmonth_defining_releases,quadrant_brier_distance_to_exact_score_map,lower,180,-8.722791876411675e-08,0.0,-2.6168375629235026e-07,5.521071541585928e-08,0.6562,8.722791876411675e-08,-5.521071541585928e-08,2.6168375629235026e-07,0.6562,0.4387122575484903,12,2,5000,20260722,sensitivity,baseline
excluding_2020_03_through_2020_05,student_t_7_reduced_core__vs__partial_only,student_t_7_reduced_core,partial_only,non_defining_reduced_core,current_baseline_vs_partial_only,False,after_midmonth_defining_releases,quadrant_cross_entropy_to_exact_score_map,lower,180,-0.002511433562808339,-0.0004613708069785005,-0.007039026064663439,0.0027446945064493826,0.8306,0.002511433562808339,-0.0027446945064493865,0.007039026064663433,0.8306,0.3285342931413717,12,2,5000,20260722,baseline,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core__vs__student_t_7_combined,student_t_7_reduced_core,student_t_7_combined,evidence_graph_revision,current_baseline_vs_frozen_predecessor,False,after_midmonth_defining_releases,quadrant_cross_entropy_to_exact_score_map,lower,180,-0.00293366383337329,-0.00012916526272993556,-0.007122814293096918,0.0016370308856868514,0.8952,0.00293366383337329,-0.0016370308856868518,0.007122814293096917,0.8952,0.20075984803039393,12,2,5000,20260722,baseline,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core__vs__transition_only,student_t_7_reduced_core,transition_only,complete_reduced_core,current_baseline_vs_transition_only,False,after_midmonth_defining_releases,quadrant_cross_entropy_to_exact_score_map,lower,180,-0.2314475640672056,-0.13261646057032622,-0.27527506021393444,-0.1910024968648552,1.0,0.2314475640672056,0.1910024968648552,0.27527506021393444,1.0,0.0001999600079984003,12,2,5000,20260722,baseline,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core_with_expectations__vs__student_t_7_reduced_core,student_t_7_reduced_core_with_expectations,student_t_7_reduced_core,inflation_expectations,add_one,True,after_midmonth_defining_releases,quadrant_cross_entropy_to_exact_score_map,lower,180,-2.8815263437071474e-07,0.0,-8.644579031121443e-07,1.4272179368582076e-07,0.6588,2.8815263437071474e-07,-1.4272179368582076e-07,8.644579031121443e-07,0.6588,0.28774245150969807,12,2,5000,20260722,sensitivity,baseline
excluding_2020_03_through_2020_05,student_t_7_reduced_core__vs__partial_only,student_t_7_reduced_core,partial_only,non_defining_reduced_core,current_baseline_vs_partial_only,False,after_midmonth_defining_releases,score_center_negative_log_predictive_density,lower,180,-0.08869991116937316,-0.02903167661882855,-0.13536693212103743,-0.03545957359607085,0.9988,0.08869991116937316,0.03545957359607083,0.1353669321210374,0.9988,0.0013997200559888023,12,2,5000,20260722,baseline,major_benchmark
